S No. 	Base Scenario 	BU	Base Jira ID	Send-Back Jira ID	Jira Summary	Assigned To	Status	Assigned To.1	Failure At Stage	Status as on 24-02-2025	Application ID - 24-02-2025	Open Defect 24-02-2025	Date	Defect Linked	Application No. 	Count of Applications tested	Data entry changes in FOS before Resubmit (if Any)	T1_UW L1	T1_UW LH	T1_CPC_Verification	"T1_CPC_Dedupe 
(Skip for Match & No Match)"	"T1_QC 
(Skip for not-Sampled)"	"T2_UW_L1_Defferal 
(Skip for No Defferal)"	"T2_UW_LH_Defferal
(Skip for No Defferal)"	"T2_UW_L1_Deffrered 
(Skip for No change)"	"T2_UW_LH_TAtoReg
(Skip for No change)"	"T2_UW_L1_CashToACH
(Skip for No change)"	"T2_UW_LH_CashToACH
(Skip for No change)"	T2_CPC_Validation	T2_CPC_Disbursement	T2_CPC_TVR (Skip for not Sampled)	T2_QC (Skip for not Sampled)	Unnamed: 33	Unnamed: 34
1	Scenario 61	PV	MT-4282	MT-4342	Send-Back_MT-4282:Base_PV_Scenario-1 _BRE 1 Happy Flow			Debadri		UAT failed	MF25022400014026	FI deviation trigged in happy flow						Skip	Skip	Details - Margin amount	Approve	Approve/Skip	Skip	Skip	Skip	Skip	Skip	Skip	Approve	Approve	Approve/Skip	Approve/Skip		
2	Scenario 62	FES	MT-4283	MT-4343	Send-Back_MT-4283:Base_FES_Scenario-2_BRE 1 Happy Flow			Antrang 					13th Feb	MT-6238	"MF25021200007904

MF25020700003491"			Skip	Skip	Details - Cash Flow Details	Approve	Approve/Skip	Skip	Skip	Skip	Skip	Skip	Skip	Approve	Send Back on MMR document	Approve/Skip	Send-Back		
3	Scenario 63	POCL	MT-4284	MT-4344	Send-Back_MT-4284:Base_POCL_Scenario-3_BRE 3 Happy Flow			Tejeswini										Skip	Skip	Details- Document verification details	Approve	Approve/Skip	Approve	Skip	Skip	Skip	Skip	Skip	Approve	Approve	Approve/Skip	Approve/Skip		
4	Scenario 64	SOT	MT-4285	MT-4345	Send-Back_MT-4285:Base_SOT_Scenario-4_BRE 1 Happy Flow			Rushiki 						MT-6218	MF25020600002331			Skip	Skip	Assets - Asset detail sendback	Approve	Approve/Skip	Approve	Skip	Skip	Skip	Skip	Skip	Approve	Approve	Approve/Skip	Approve/Skip		
5	Scenario 65	SOT	MT-4286	MT-4346	Send-Back_MT-4286:Base_SOT_Scenario-5_BRE 1 Happy Flow			Joydeep									Add defferal in pre-sanction	Approve	Approve	Approve	Send-back	Approve/Skip	Skip	Skip	Skip	Skip	Skip	Skip	Margin ammount	Approve	Approve/Skip	Approve/Skip		
6	Scenario 66	FES	MT-4287	MT-4347	Send-Back_MT-4287:Base_FES_Scenario-6_BRE 1 Happy Flow			Durvesh									Remove Defferal in pre-sanction	Approve	Approve	Send-back on KYC document	Approve	Approve/Skip	Skip	Skip	Skip	Skip	Skip	Skip	Approve	Send Back on MMR document	Approve/Skip	Approve/Skip		
7	Scenario 67	POCL	MT-4288	MT-4348	Send-Back_MT-4288:Base_POCL_Scenario-7_BRE 3 Happy Flow			Ankush		UAT Blocked	MF2502250001477							Approve	Approve	Approve	Send-back	Approve/Skip	Skip	Skip	Skip	Skip	Skip	Skip	Defferal/deviation sendback 	Approve	Approve/Skip	Approve/Skip		
8	Scenario 68	PV	MT-4289	MT-4349	Send-Back_MT-4289:Base_PV_Scenario-8_BRE 1 Happy Flow			Janhvi					2025-08-02 00:00:00	MH-6237	MH25020800004002			Approve	Approve	Approve	Send-back	Approve/Skip	Send-back	Approve	Skip	Skip	Skip	Skip	Approve	Approve	Approve/Skip	Approve/Skip		
9	Scenario 69	FES	MT-4290	MT-4350	Send-Back_MT-4290:Base_FES_Scenario-9_BRE 1 Happy Flow			Durvesh										Approve	Approve	Approve	Send-back	Approve/Skip	Skip	Skip	Skip	Approve	Skip	Skip	Approve	Approve	Approve/Skip	Approve/Skip		
10	Scenario 70	POCL	MT-4291	MT-4351	Send-Back_MT-4291:Base_POCL_Scenario-10_BRE 3 Happy Flow			Anurag									Add a new co-applicant	Approve	Approve	Co-Applicants+Applicants - KYC details	Send-back	Send-back	Approve	Skip	Skip	Skip	Send-back	Approve	Approve	Approve	Hold	Approve/Skip		
11	Scenario 71	SOT	MT-4292	MT-4352	Send-Back_MT-4292:Base_SOT_Scenario-11_BRE 1 Deviation			Lalit										Approve	Approve	Co-Applicants+Applicants- Basic Customer profile	Send-back	Approve/Skip	Approve	Approve	Approve	Approve	Approve	Send-back	Approve	Approve	Send-back	Approve/Skip		
12	Scenario 72	FES	MT-4293	MT-4353	Send-Back_MT-4293:Base_FES_Scenario-12_BRE 3 Deviation			Ekta		UAT Failed	MF25022200013861	MT-6720		MT-6769			Remove PSL	Approve	Approve	Applicants- PSL Details -  	Approve	Approve/Skip	Approve	Approve	Approve	Send-back	Send-back	Approve	Approve	Approve	Hold	Approve/Skip		
13	Scenario 73	FES	MT-4294	MT-4354	Send-Back_MT-4294:Base_FES_Scenario-13_BRE 1 Deviation			Rushad										Approve	Approve	Approve	Approve	Approve/Skip	Skip	Skip	Approve	Approve	Approve	Skip	Margin ammount	Send Back on MMR document	Approve/Skip	Approve/Skip		
14	Scenario 74	POCL	MT-4295	MT-4355	Send-Back_MT-4295:Base_POCL_Scenario-14_BRE 3 Deviation			Anurag										Approve	Approve	Co-Applicants+Applicants - Document verification	Approve	Approve/Skip	Skip	Send-back	Skip	Skip	Approve	Approve	Approve	Approve	Approve/Skip	Approve/Skip		
15	Scenario 75	PV	MT-4296	MT-4356	Send-Back_MT-4296:Base_PV_Scenario-15_BRE 1 Deviation			Debadri		UAT failed	MF25022500014233	MT-6790						Approve	Approve	Deviations and conditions - Send back	Approve	Approve/Skip	Skip	Skip	Send-back	Approve	Skip	Skip	Approve	Approve	Approve/Skip	Approve/Skip	MF24112900004658	1000028628
16	Scenario 76	FES	MT-4297	MT-4357	Send-Back_MT-4297:Base_FES_Scenario-16_BRE 1 Deviation			Rushad									Add defferal in pre-sanction	Send-back	Approve	Applicants- Bank account	Send-back	Send-back	Approve	Skip	Approve	Send-back	Approve	Send-back	Approve	Approve	Approve/Skip	Approve/Skip	MF24113000004839	'001000028766
17	Scenario 77	POCL	MT-4298	MT-4358	Send-Back_MT-4298:Base_POCL_Scenario-17_BRE 3 Deviation			Tejeswini									Remove Defferal in pre-sanction	Send-back	Approve	Applicants- Last Name	Approve	Approve/Skip	Skip	Skip	Skip	Skip	Approve	Approve	Send-back	Approve	Approve/Skip	Send-Back		
18	Scenario 78	SOT	MT-4299	MT-4359	Send-Back_MT-4299:Base_SOT_Scenario-18_BRE 1 Deviation			Rushiki 									Change Repayment mode from Cash to ACH	Approve	Send-back	Applicants- First Name	Approve	Approve/Skip	Skip	Skip	Skip	Skip	Skip	Skip	Margin ammount	Approve	Approve/Skip	Send-Back		
19	Scenario 79	POCL	MT-4300	MT-4360	Send-Back_MT-4300:Base_POCL_Scenario-19_BRE 3 Deviation			Shubham									Change Repayment mode from Cash to ACH	Approve	Send-back	Add on Products - Send back	Send-back	Approve/Skip	Skip	Skip	Skip	Skip	Skip	Skip	Applicants - Mandate details	Approve	Approve/Skip	Approve/Skip		
20	Scenario 80	FES	MT-4301	MT-4361	Send-Back_MT-4301:Base_FES_Scenario-20_BRE 1 Deviation			Deep									Change Repayment mode from Emandate to UPI/Cash/PDC)	Approve	Approve	Viability Templates	Approve	Approve/Skip	Skip	Skip	Skip	Skip	Skip	Skip	Defferal/deviation sendback 	Approve	Send-back	Approve/Skip		
21	Scenario 81	POCL	MT-4302	MT-4362	Send-Back_MT-4302:Base_POCL_Scenario-21_BRE 3 Deviation			Shubham										Approve	Approve	Applicant Financials	Approve	Approve/Skip	Skip	Skip	Skip	Skip	Send-back	Skip	Approve	Approve	Hold	Send-Back		
22	Scenario 82	PV	MT-4303	MT-4363	Send-Back_MT-4303:Base_PV_Scenario-22_BRE 1 Deviation			Debadri		UAT failed	MF25022400014026	https://mmfss.atlassian.net/browse/MT-6756					Change Repayment mode from PDC to Cash	Approve	Proposal Summary_Loan Amount Change_ Sendback	Approve	Send-back	Approve/Skip	Skip	Skip	Skip	Skip	Skip	Skip	Approve	Approve	Send-back	Approve		
23	Scenario 83	FES	MT-4304	MT-4364	Send-Back_MT-4304:Base_FES_Scenario-23_BRE 1 Deviation			Ekta		UAT Blocked	MF25022500014199	MT-6777					Change Repayment mode from Emandate to Cash	Approve	Proposal Summary_IRR_ Sendback	Approve	Send-back	Approve/Skip	Skip	Skip	Skip	Skip	Skip	Skip	Approve	Send-Back	Approve/Skip	Approve	MF24112900004671	
24	Scenario 84	POCL	MT-4305	MT-4365	Send-Back_MT-4305:Base_POCL_Scenario-24_BRE 3 Deviation			Shubham										Approve	Proposal Summary_Tenure_ Sendback	Approve	Send-back	Approve/Skip	Skip	Skip	Skip	Skip	Skip	Skip	Approve	Approve	Approve/Skip	Approve		
25	Scenario 85	SOT	MT-4306	MT-4366	Send-Back_MT-4306:Base_SOT_Scenario-25_BRE 1 Deviation			Lalit									v 	Approve	Proposal Summary_PF Charges_ Sendback	Approve	Send-back	Approve/Skip	Skip	Skip	Skip	Skip	Skip	Skip	Margin ammount	Approve	Approve/Skip	Approve		
