Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14
Story #	Test Case ID	Test Description	Test Data	Test Steps	Expected Output	Detailed Test Category	Attachments(Issue)	Pass/Faile	"Defect-ID (JIRA)
(if Fail)"	Pass/Fail	Comments	Defect-ID(JIRA)	Device	Attachments(Issue)
MT-321	Scope Scenario 1 													
	TC001	Verify all modes of consent are enabled		1. Open the consent screen.	All modes (Link, OTR, Form) should be enabled and selectable.	Positive								
	TC002	Verify default selection of Link radio button		1. Open the consent screen.	The Link radio button should be selected by default.	Positive								
	TC003	Verify default selection of Link radio button		1. Open the consent screen.	The Link radio button not selected by default.	Negative								
	TC004	Verify sending link via SMS	Primary applicant's phone number	1. Select the Link radio button. 2. Click on Send Link.	An SMS with the link should be sent to the primary applicant's phone number.	Positive								
	TC005	Verify resend link button activation	Primary applicant's phone number, configurable X seconds	1. Select the Link radio button. 2. Click on Send Link. 3. Wait for X seconds.	The Resend Link button should be activated after X seconds.	Positive								
	TC006	Verify resend link button activation	Primary applicant's phone number, configurable X seconds	1. Select the Link radio button. 2. Click on Send Link. 3. Wait for X seconds.	The Resend Link button not activated after X seconds.	Negative								
	TC007	Verify status update after sending link via SMS	Primary applicant's phone number	1. Select the Link radio button. 2. Click on Send Link.	"The status should update to ""The Link has been sent on +91 <Mobile number of primary Applicant> Didn't receive link?"""	Positive								
	TC008	Verify resend link functionality	Primary applicant's phone number	1. Select the Link radio button. 2. Click on Send Link. 3. Click on Resend Link after X seconds.	The link should be resent, and the expiry timer should be reset.	Positive								
	TC009	Verify resend link functionality	Primary applicant's phone number	1. Select the Link radio button. 2. Click on Send Link. 3. Click on Resend Link after X seconds.	The link should be resent, and the expiry timer not reset.	Negative								
	TC010	Verify sending OTR via SMS	Primary applicant's phone number	1. Select the OTR radio button. 2. Click on Send OTR.	An SMS with the OTR should be sent to the primary applicant's phone number within X seconds.	Positive								
	TC011	Verify communication matrix for OTR SMS	Primary applicant's phone number, communication matrix	1. Select the OTR radio button. 2. Click on Send OTR.	The SMS content should match the details specified in the communication matrix.	Positive								
	TC012	Verify resend OTR button activation	Primary applicant's phone number, configurable X seconds	1. Select the OTR radio button. 2. Click on Send OTR. 3. Wait for X seconds.	The Resend OTR button should be activated after X seconds.	Positive								
	TC013	Verify resend OTR button activation	Primary applicant's phone number, configurable X seconds	1. Select the OTR radio button. 2. Click on Send OTR. 3. Wait for X seconds.	The Resend OTR button not activated after X seconds.	Negative								
	TC014	Verify status update after sending OTR via SMS	Primary applicant's phone number	1. Select the OTR radio button. 2. Click on Send OTR.	"The status should update to ""The OTR has been sent on +91 <Mobile number of primary Applicant> Didn't receive OTR?"""	Positive								
	TC015	Verify resend OTR functionality	Primary applicant's phone number	1. Select the OTR radio button. 2. Click on Send OTR. 3. Click on Resend OTR after X seconds.	The OTR should be resent, and the expiry timer should be reset.	Positive								
	TC016	Verify manual consent form handling	Physical consent form	1. Select the Form radio button. 2. Fill out the physical consent form. 3. Scan the completed form. 4. Upload the scanned document in the system.	The system should accept the uploaded scanned document and display a confirmation message.	Positive								
	TC017	Verify successful upload of scanned consent form	Scanned consent form document	1. Select the Form radio button. 2. Upload a valid scanned consent form document.	The system should successfully upload and save the document, displaying a success message.	Positive								
	Validation Scenario 2:													
	TC018	Verify only one mode of consent can be selected at a time		1. Open the consent screen. 2. Select the Link radio button. 3. Attempt to select the OTR radio button while Link is selected.	The Link radio button should be deselected and OTR should be selected.	Positive								
	TC019	Verify mandatory selection of one mode of consent		1. Open the consent screen. 2. Try to proceed without selecting any consent mode.	The system should display a validation error message indicating that one mode of consent must be selected.	Negative								
	TC020	Verify all modes of consent are simultaneously enabled		1. Open the consent screen. 2. Check the availability of Link, OTR, and Form radio buttons.	All three radio buttons (Link, OTR, Form) should be enabled and selectable.	Positive								
	TC021	Verify communication via WhatsApp after Link-based consent	Primary applicant's phone number	1. Select the Link radio button. 2. Click on Send Link. 3. Complete the consent process via link. 4. Initiate WhatsApp communication.	The system should allow WhatsApp communication as consent is already taken via Link.	Positive								
	TC022	Verify communication via WhatsApp after OTR-based consent	Primary applicant's phone number	1. Select the OTR radio button. 2. Click on Send OTR. 3. Complete the consent process via OTR. 4. Initiate WhatsApp communication.	The system should allow WhatsApp communication as consent is already taken via OTR.	Positive								
