Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14
Story #	Test Case ID	Test Description	Test Data	Test Steps	Expected Output	Detailed Test Category	Attachments(Issue)	Pass/Faile	"Defect-ID (JIRA)
(if Fail)"	Pass/Fail	Comments	Defect-ID(JIRA)	Device	Attachments(Issue)
MT-322	Scope Scenario 1 													
	TC001	Verify the UI displays consent options after X seconds	X = 30 seconds, consent options	1. Open the FE App.   2. Wait for X seconds without establishing consent.	The UI displays consent options after 30 seconds.	Positive								
	TC002	"Verify the user can select ""Link Based"" consent"	Mode of Consent: Link Based	"1. Select ""Link Based"" consent option."	"""Link Based"" consent option is selected."	Positive								
	TC003	"Verify the user can select ""Manual Consent"""	Mode of Consent: Manual Consent	"1. Select ""Manual Consent"" option."	"""Manual Consent"" option is selected."	Positive								
	TC004	Verify SMS link is sent to Co-applicant's phone number	Co-applicant phone number	"1. Select ""Link Based"" consent option.   2. Submit the selection."	SMS link is sent to Co-applicant's phone number within X seconds.	Positive								
	TC005	"Verify ""Resend link"" button is activated after X seconds"	X = 30 seconds	1. Send SMS link to Co-applicant.   2. Wait for X seconds.	"""Resend link"" button is activated after 30 seconds."	Positive								
	TC006	"Verify ""Resend link"" button is activated after X seconds"	X = 30 seconds	1. Send SMS link to Co-applicant.   2. Wait for X seconds.	"""Resend link"" button is activated before 30 seconds."	Negative								
	TC007	Verify the link expiry time is displayed on screen	X = 30 seconds	1. Send SMS link to Co-applicant.	The link expiry time is visible on screen.	Positive								
	TC008	Verify the link expiry time is displayed on screen	X = 30 seconds	1. Send SMS link to Co-applicant.	The link expiry time is not visible on screen.	Negative								
	Validation Scenario 2:													
	TC009	Verify the user can select only one mode of consent at a time	Mode of Consent: Link Based, Manual	"1. Open the FE App.   2. Attempt to select both ""Link Based"" and ""Manual Consent"" options simultaneously."	The system does not allow selecting both consent modes at the same time.	Positive								
	TC010	Verify user can upload the manual consent form	Physical form, scan	"1. Select ""Manual Consent"" option.   2. Upload the scanned manual consent form."	The system accepts and uploads the manual consent form.	Positive								
	TC011	"Verify the app reflects the status as ""Link sent"""	Co-applicant phone number	"1. Select ""Link Based"" consent option.   2. Submit the selection."	"The app updates the status to ""Link sent"" after sending the SMS link."	Positive								
