Test Step ID	Test Steps 	Test DATA	Expected Output	Detailed Test Category	Actual Result	Pass/Failed	Defect-ID (JIRA)	Comments
Test Cases related to Scope								
TC01	Verify CPV accordion display for all verticals and contract types	Access FOS for each vertical and contract type	CPV accordion is displayed for all verticals and contract types	Positive				
TC02	Verify CPV accordion display for all verticals and contract types	Access FOS for each vertical and contract type	CPV accordion is not displayed for any verticals or any contract types	Negative				
TC03	Verify display of applicable Persona & Address types for mandatory CPV based on BRE flag	BRE flag output for mandatory CPV	Only applicable Persona & Address types are displayed	Positive				
TC04	Verify display of non-applicable Persona & Address types when BRE flag indicates waiver	BRE flag output indicates CPV waiver	Non-applicable Persona & Address types are  displayed	Negative				
TC05	Verify 'Status flag' display as 'In Progress' for selected Persona & Address	Initiate CPV for a Persona & Address	'In Progress' status flag is displayed	Positive				
TC06	Verify 'Status flag' display as 'In Progress' for selected Persona & Address	Initiate CPV for a Persona & Address	In Progress' status flag is not  displayed	Negative				
TC07	Verify 'Status flag' display as 'Completed' for selected Persona & Address	Complete CPV for a Persona & Address	'Completed' status flag is displayed	Positive				
TC08	Verify 'Status flag' display as 'Completed' for selected Persona & Address	Complete CPV for a Persona & Address	Completed' status flag is not displayed	Negative				
TC09	Verify incorrect 'Status flag' display for uninitiated CPV	CPV not initiated for a Persona & Address	'Status flag' should not display 'In Progress' or 'Completed'	Positive				
TC10	Verify incorrect 'Status flag' display for uninitiated CPV	CPV not initiated for a Persona & Address	Status flag' displays 'In Progress' or 'Completed'	Negative				
TC11	Verify user can conduct Non-Mandatory/Optional CPV from QDE1B to Post Sanction flow	Select 'Yes' to conduct optional CPV in BRE outcome screen	User is navigated to CPV address verification screen	Positive				
TC12	Verify user can conduct Non-Mandatory/Optional CPV from QDE1B to Post Sanction flow	Select 'Yes' to conduct optional CPV in BRE outcome screen	User is not navigated to CPV address verification screen	Negative				
TC13	Verify user is prevented from conducting Non-Mandatory/Optional CPV when not allowed	Select 'Yes' to conduct optional CPV when not allowed	User is not navigated to CPV address verification screen	Positive				
TC14	Verify user is prevented from conducting Non-Mandatory/Optional CPV when not allowed	Select 'Yes' to conduct optional CPV when not allowed	User is  navigated to CPV address verification screen	Negative				
Scenario: 1. Manditory CPV (in case of CPV conducted BRE 1/BRE 2 outcome stage)								
a. Display the CPV Accordion in BRE offer screen.								
Covered in Scope								
b. Display the Persona & address in CPV address Verification chip filter Screen.								
TC-15	Verify CPV chip filter screen displays correct Persona & address based on BRE flag	"BRE outcome with CPV waiver flag ""NO"" for specific personas and addresses"	CPV chip filter screen displays only the mandatory Persona & address types	Positive				
