Test Step ID	Test Steps Description	Test Input	Expected Outputs	Test Category	Actual Result	Pass/Faile	"Defect-ID (JIRA)
(if Fail)"
Scope							
Scenario 1.1: Verify Vertical and Contract Type Mapping							
							
Test Case ID	Test Step Description	Test Input	Expected Output	Test Category			
TC1-001	"Select Vertical ""PV"" and Contract Type ""New"""	Vertical: PV, Contract Type: New	"System processes request based on ""PV"" Vertical and ""New"" Contract Type"	Positive		Pass	
TC1-002	"Select Vertical ""FES"" and Contract Type ""New"""	Vertical: FES, Contract Type: New	"System processes request based on ""FES"" Vertical and ""New"" Contract Type"	Positive		Pass	
TC1-003	"Select Vertical ""FES"" and Contract Type ""Internal BT/Refinance"""	Vertical: FES, Contract Type: Internal BT/Refinance	"System processes request based on ""FES"" Vertical and ""Internal BT/Refinance"" Contract Type"	Positive			
TC1-004	"Select Vertical ""FES"" and Contract Type ""Sale Purchase"""	Vertical: FES, Contract Type: Sale Purchase	"System processes request based on ""FES"" Vertical and ""Sale Purchase"" Contract Type"	Positive			
TC1-005	"Select Vertical ""FES"" and Contract Type ""External Refinance"""	Vertical: FES, Contract Type: External Refinance	"System processes request based on ""FES"" Vertical and ""External Refinance"" Contract Type"	Positive			
TC1-006	"Select Vertical ""SOT"" and Contract Type ""New"""	Vertical: SOT, Contract Type: New	"System processes request based on ""SOT"" Vertical and ""New"" Contract Type"	Positive			
TC1-007	"Select Vertical ""POCL"" and Contract Type ""Internal BT/Refinance"""	Vertical: POCL, Contract Type: Internal BT/Refinance	"System processes request based on ""POCL"" Vertical and ""Internal BT/Refinance"" Contract Type"	Positive			
TC1-008	"Select Vertical ""POCL"" and Contract Type ""Sale Purchase"""	Vertical: POCL, Contract Type: Sale Purchase	"System processes request based on ""POCL"" Vertical and ""Sale Purchase"" Contract Type"	Positive			
TC1-009	"Select Vertical ""POCL"" and Contract Type ""External Refinance"""	Vertical: POCL, Contract Type: External Refinance	"System processes request based on ""POCL"" Vertical and ""External Refinance"" Contract Type"	Positive			
TC1-010	"Select Vertical ""SOT"" or ""PV"" "	Vertical: PV or SOT 	Ensure that System does not display the unallowed contract types such as 'Internal BT/Refinance, sale purchase, External Refinanace'	Positive			
Test Case 2: Verify Persona Applicability							
							
Scenario 2.1: Verify User Story for Different Personas							
							
Test Case ID	Test Step Description	Test Input	Expected Output	Test Category			
TC2-011	Verify user story applicability for applicant	Persona: Applicant	System processes request based on applicant persona	Positive			
TC2-012	Verify user story applicability for co-applicant	Persona: Co-applicant	System processes request based on co-applicant persona	Positive			
TC2-013	Verify user story applicability for multiple co-applicants	Persona: Multiple Co-applicants	System processes request for all co-applicants	Positive			
TC2-014	Verify user story applicability for guarantor	Persona: Guarantor	System processes request based on guarantor persona	Positive			
TC2-015	Verify user story applicability for multiple guarantors	Persona: Multiple Guarantors	System processes request for all guarantors	Positive			
TC2-016	Verify user story for invalid persona	Persona: Duplicate or Existing person details as persona	System does not process request due to duplicate/exisitng details of person in persona	Negative			
Navigation							
TC2-017	Verification of Navigation of Basic customer profile accordion	Application Details > Sanction > Basic Customer Profile	Ensure that Accrodion should be opened and displayed with all the details	Positive			
Test Case 3: Display Fields for Basic Customer Profile Details							
							
Scenario 3.1: Verify Display of Additional Fields Based on Vertical and Customer Segment							
							
Test Case ID	Test Step Description	Test Input	Expected Output	Test Category			
TC2-018	"Select Vertical ""PV"" and verify additional fields display"	Vertical: PV; customer segment:Salaried	"Additional fields for customer profile details are displayed as follows in Basic customer profile section:
Customer Segment ,
Sub-segment, 
Mahindra Employee Radio button
 Income Proof Availability, 
Total Employment
Name of organisation
Dclared Annual Gross income
Declared Annual Gross Obligations
"	Positive			
TC2-019	"Select Vertical ""PV"" and verify additional fields display"	Vertical: PV, Customer Segment: salaried( Corporate /private employee)	"Additional fields for customer profile details are displayed as follows in Basic customer profile section:
Customer Segment ,
Sub-segment, 
Mahindra Employee Radio button
EMployee ID(If mahindra employee-- yes)
 Income Proof Availability, 
Total Employment
Dclared Annual Gross income
Declared Annual Gross Obligations
"	Positive			
TC2-020	"Select Vertical ""PV"" and verify additional fields display"	Vertical: PV, Customer Segment: salaried Corporate /private employee)	"Additional fields for customer profile details are displayed as follows in Basic customer profile section:
Customer Segment ,
Sub-segment, 
Mahindra Employee Radio button
 Income Proof Availability, 
Total Employment
Name of Organisation
Dclared Annual Gross income
Declared Annual Gross Obligations
"	Positive			
TC2-021	"Select Vertical ""PV"" and verify additional fields display"	Vertical: PV, Customer Segment: other than salaried(Self employe Business - Trader)	"Additional fields for customer profile details are displayed as follows in Basic customer profile section:
Customer Segment ,
Sub-segment, 
Work/Business stability
 Income Proof Availability, 
Name of Organisation
Dclared Annual Gross income
Declared Annual Gross Obligations
"	Positive			
TC2-022	"Select Vertical ""PV"" and verify additional fields display"	Vertical: PV, Customer Segment: other than salaried(Self employe Professional - Engineer)	"Additional fields for customer profile details are displayed as follows in Basic customer profile section:
Customer Segment ,
Sub-segment, 
Work/Business stability
 Income Proof Availability, 
Name of Organisation
Dclared Annual Gross income
Declared Annual Gross Obligations
"	Negative			
TC2-023	"Select Vertical ""PV"" and verify additional fields display"	Vertical: PV, Customer Segment: other than salaried(Agriculture)	"Additional fields for customer profile details are displayed as follows in Basic customer profile section:
Customer Segment ,
Sub-segment, 
Work/Business stability
 Income Proof Availability, 
Dclared Annual Gross income
Declared Annual Gross Obligations
"	Negative			
TC2-024	"Select Vertical ""PV"" and verify additional fields display"	Vertical: PV, Customer Segment: other than salaried(Captive - Earn&Pay)	"Additional fields for customer profile details are displayed as follows in Basic customer profile section:
Customer Segment ,
Sub-segment, 
Work/Business stability
 Income Proof Availability, 
Dclared Annual Gross income
Declared Annual Gross Obligations
"				
TC2-025	"Select Vertical ""PV"" and verify additional fields display"	Vertical: PV; customer segment:Salaried	"Additional fields for customer profile details are displayed as follows in Basic customer profile section:
Customer Segment ,
Sub-segment, 
Mahindra Employee Radio button
 Income Proof Availability, 
Total Employment
Stability Proof
Name of organisation
Dclared Annual Gross income
Declared Annual Gross Obligations
"	Positive			
TC2-026	"Select Vertical ""SOT"" and verify additional fields display"	Vertical: SOT, Customer Segment: salaried( Corporate /private employee)	"Additional fields for customer profile details are displayed as follows in Basic customer profile section:
Customer Segment ,
Sub-segment, 
Mahindra Employee Radio button
EMployee ID(If mahindra employee-- yes)
 Income Proof Availability, 
Total Employment
Stability proof
Dclared Annual Gross income
Declared Annual Gross Obligations
"	Positive			
TC2-027	"Select Vertical ""SOT"" and verify additional fields display"	Vertical: SOT, Customer Segment: salaried Corporate /private employee)	"Additional fields for customer profile details are displayed as follows in Basic customer profile section:
Customer Segment ,
Sub-segment, 
Mahindra Employee Radio button
 Income Proof Availability, 
Total Employment
Stability Proof
Name of Organisation
Dclared Annual Gross income
Declared Annual Gross Obligations
"	Positive			
TC2-028	"Select Vertical ""SOT"" and verify additional fields display"	Vertical: SOT, Customer Segment: other than salaried(Self employe Business - Trader)	"Additional fields for customer profile details are displayed as follows in Basic customer profile section:
Customer Segment ,
Sub-segment, 
Work/Business stability
Stability proof
 Income Proof Availability, 
Name of Organisation
Dclared Annual Gross income
Declared Annual Gross Obligations
"	Positive			
TC2-029	"Select Vertical ""SOT"" and verify additional fields display"	Vertical: SOT, Customer Segment: other than salaried(Self employe Professional - Engineer)	"Additional fields for customer profile details are displayed as follows in Basic customer profile section:
Customer Segment ,
Sub-segment, 
Work/Business stability
stability proof
 Income Proof Availability, 
Name of Organisation
Dclared Annual Gross income
Declared Annual Gross Obligations
"	Positive			
TC2-030	"Select Vertical ""SOT"" and verify additional fields display"	Vertical: SOT, Customer Segment: other than salaried(Agriculture)	"Additional fields for customer profile details are displayed as follows in Basic customer profile section:
Customer Segment ,
Sub-segment, 
Work/Business stability
 Income Proof Availability, 
Dclared Annual Gross income
Declared Annual Gross Obligations
"	Positive			
TC2-031	"Select Vertical ""SOT"" and verify additional fields display"	Vertical: SOT, Customer Segment: other than salaried(Captive - Earn&Pay)	"Additional fields for customer profile details are displayed as follows in Basic customer profile section:
Customer Segment ,
Sub-segment, 
Work/Business stability
 Income Proof Availability, 
Dclared Annual Gross income
Declared Annual Gross Obligations
"	Positive			
TC2-032	"Select Vertical ""FES"" and verify additional fields display"	Vertical: FES; customer segment:Salaried	"Additional fields for customer profile details are displayed as follows in Basic customer profile section:
Customer Segment ,
Sub-segment, 
Mahindra Employee Radio button
 Income Proof Availability, 
Total Employment
Name of organisation
Dclared Annual Gross income
Declared Annual Gross Obligations
"	Positive			
TC2-033	"Select Vertical ""FES"" and verify additional fields display"	Vertical: FES, Customer Segment: salaried( Corporate /private employee)	"Additional fields for customer profile details are displayed as follows in Basic customer profile section:
Customer Segment ,
Sub-segment, 
Mahindra Employee Radio button
EMployee ID(If mahindra employee-- yes)
 Income Proof Availability, 
Total Employment
Dclared Annual Gross income
Declared Annual Gross Obligations
"	Positive			
TC2-034	"Select Vertical ""FES"" and verify additional fields display"	Vertical: FES, Customer Segment: salaried Corporate /private employee)	"Additional fields for customer profile details are displayed as follows in Basic customer profile section:
Customer Segment ,
Sub-segment, 
Mahindra Employee Radio button
 Income Proof Availability, 
Total Employment
Name of Organisation
Dclared Annual Gross income
Declared Annual Gross Obligations
"	Positive			
