Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14
Story #	Test Case ID	Test Description	Test Data	Test Steps	Expected Output	Detailed Test Category	Attachments(Issue)	Pass/Faile	"Defect-ID (JIRA)
(if Fail)"	Pass/Fail	Comments	Defect-ID(JIRA)	Device	Attachments(Issue)
MT-398	Scope Scenario 1:													
	TC001	Execute BRE-1 for PV Vertical with New Contract Type	Vertical: PV, Contract Type: New	"1. Log in to the system.
2. Navigate to QDE 1 screen.
3. Fill in required data.
4. Click the ""Proceed"" button.
5. Ensure BRE-1 execution is triggered."	Offer(s) generated should be displayed on the Offer Listing screen.	Positive								
	TC002	Execute BRE-1 for PV Vertical with New Contract Type	Vertical: PV, Contract Type: New	"1. Log in to the system.
2. Navigate to QDE 1 screen.
3. Fill in required data.
4. Click the ""Proceed"" button.
5. Ensure BRE-1 execution is triggered."	no offer, hold or decline Offer(s)  should   be displayed on the Offer Listing screen.	Negative								
	TC003	Execute BRE-1a for FES Vertical with Sale Purchase Contract Type (Soft Valuation)	Vertical: FES, Contract Type: Sale Purchase, Valuation: Soft	"1. Log in to the system.
2. Navigate to QDE 1 screen.
3. Fill in required data including soft valuation.
4. Click the ""Proceed"" button.
5. Ensure BRE-1a execution is triggered."	Offer(s) generated should be displayed on the Offer Listing screen.	Positive								
	TC004	Execute BRE-1a for FES Vertical with Sale Purchase Contract Type (Soft Valuation)	Vertical: FES, Contract Type: Sale Purchase, Valuation: Soft	"1. Log in to the system.
2. Navigate to QDE 1 screen.
3. Fill in required data including soft valuation.
4. Click the ""Proceed"" button.
5. Ensure BRE-1a execution is triggered."	Offer(s) generated should  not be displayed on the Offer Listing screen.	Negative								
	TC005	Execute BRE-1b for POCL Vertical with External Refinance Contract Type (Hard Val)	Vertical: POCL, Contract Type: External Refinance, Valuation: Soft & Hard	"1. Log in to the system.
2. Navigate to QDE 1 screen.
3. Fill in required data including both soft and hard valuation.
4. Click the ""Proceed"" button.
5. Ensure BRE-1b execution is triggered."	Offer(s) generated should be displayed on the Offer Listing screen.	Positive								
	TC006	Execute BRE-1b for POCL Vertical with External Refinance Contract Type (Hard Val)	Vertical: POCL, Contract Type: External Refinance, Valuation: Soft & Hard	"1. Log in to the system.
2. Navigate to QDE 1 screen.
3. Fill in required data including both soft and hard valuation.
4. Click the ""Proceed"" button.
5. Ensure BRE-1b execution is triggered."	Offer(s) generated should  not be displayed on the Offer Listing screen.	Negative								
	TC007	Execute BRE-1 for SOT Vertical with New Contract Type	Vertical: SOT, Contract Type: New	"1. Log in to the system.
2. Navigate to QDE 1 screen.
3. Fill in required data.
4. Click the ""Proceed"" button.
5. Ensure BRE-1 execution is triggered."	Offer(s) generated should be displayed on the Offer Listing screen.	Positive								
	TC008	Execute BRE-1 for SOT Vertical with New Contract Type	Vertical: SOT, Contract Type: New	"1. Log in to the system.
2. Navigate to QDE 1 screen.
3. Fill in required data.
4. Click the ""Proceed"" button.
5. Ensure BRE-1 execution is triggered."	Offer(s) generated should  not be displayed on the Offer Listing screen.	Negative								
