Test Step ID	Test Steps 	Test DATA	Expected Output	Detailed Test Category	Actual Result	Pass/Failed	Defect-ID (JIRA)	Comments
Scope								
TC-01	Verify POI type dropdown exists in FE App	Navigate to KYC screen	Dropdown for POI types is visible	Positive				
TC-02	Select each POI type from dropdown	Choose Aadhaar, DL, Passport, Voter ID, NREGA, NPR	Each POI type is selectable	Positive				
Validation Requirements								
TC-03	Validate POI types match the list from the field list excel	Check dropdown options	Dropdown includes Aadhaar, DL, Passport, Voter ID, NREGA, NPR	Positive				
Scenario 1: Business executive selects the POI type, and the details were captured previously								
TC-04	Select POI type (e.g., Aadhaar)	Choose Aadhaar from dropdown	Aadhaar details auto-populated from LOS	Positive				
TC-05	Verify auto-populated details	Check displayed details	Previously captured details are accurate	Positive				
Scenario 2: Business executive selects the POI type, but the details weren't captured previously								
TC-06	Select POI type (e.g., Passport)	Choose Passport from dropdown	Input fields for Passport details are available	Positive				
TC-07	Manually enter POI details	Enter Passport details	Details are entered correctly	Positive				
TC-08	Select invalid POI type	"Choose ""ID Card"""	"Dropdown does not include ""ID Card"""	Negative				
TC-09	Verify missing POI types	Check for missing options	All expected POI types are present	Negative				
