Story #	Test Case ID	Test Description	Test Data	Test Steps	Expected Output	Detailed Test Category	Pass/Failed	Attachments(Issue)
	Scope : 							
	TC_001	Verify that AML check is triggered after QDE 1A and Posidex checks for an applicant.	Valid applicant data that passes QDE 1A and Posidex checks.	1. Enter valid applicant data. 2. Complete QDE 1A. 3. Conduct Posidex check. 4. Verify AML check is triggered.	AML check is triggered successfully after QDE 1A and Posidex checks.	Positive		
	TC_002	Verify that AML check is triggered after QDE 1A and Posidex checks for an applicant.	Valid applicant data that passes QDE 1A and Posidex checks.	1. Enter valid applicant data. 2. Complete QDE 1A. 3. Conduct Posidex check. 4. Verify AML check is triggered.	AML check is not triggered successfully after QDE 1A and Posidex checks.	Negative		
	TC_003	"Verify the system handles a ""Match"" result from AML check and stops the case."	Applicant data that matches AML watchlist criteria.	"1. Trigger AML check for an applicant. 2. Receive a ""Match"" response from AML API."	"The case is hard-stopped and marked as ""Declined"" on the front end."	Positive		
	TC_004	"Verify the system handles a ""Match"" result from AML check and stops the case."	Applicant data that matches AML watchlist criteria.	"1. Trigger AML check for an applicant. 2. Receive a ""Match"" response from AML API."	"The case is not hard-stopped and not marked as ""Declined"" on the front end."	Negative		
	TC_005	"Verify the system moves to external fraud check when AML check returns ""No Match""."	Applicant data that does not match AML watchlist criteria.	"1. Trigger AML check for an applicant. 2. Receive a ""No Match"" response from AML API. 3. Verify that the system triggers the external fraud check (Sherlock)."	The system proceeds to conduct an external fraud check.	Positive		
	TC_006	Verify that an error message is displayed when AML check API returns an error.	Invalid applicant data or simulate API failure.	1. Trigger AML check for an applicant. 2. Simulate an API error response.	An appropriate error message is displayed on the front end.	Positive		
	TC_007	Verify AML Report : Store all the data from the AML API response in FOS App	Valid applicant data that for AML report	"1. Trigger external fraud check after AML ""No Match"". 2. Receive fraud check results. 3. Verify results are displayed on the front end."	All the data should be stored in FOS app with AML API response.	Positive		
	TC_008	Verify fraud check results for a score above the threshold.	Applicant data resulting in a score above the fraud threshold.	1. Trigger external fraud check. 2. Receive a score above the threshold from Sherlock API. 3. Verify system's response.	The system handles the case according to the fraud check score and moves forward as defined.	Positive		
	TC_009	Verify fraud check results for a score below the threshold.	Applicant data resulting in a score below the fraud threshold.	1. Trigger external fraud check. 2. Receive a score below the threshold from Sherlock API. 3. Verify system's response.	The system handles the case according to the fraud check score and proceeds with subsequent steps.	Positive		
	TC_010	Verify input parameters for fraud check are correctly captured and validated.	Various combinations of input parameters including missing or incorrect values.	1. Trigger external fraud check with different input combinations. 2. Validate that system captures all required input parameters correctly.	The system accepts all mandatory parameters and returns errors for missing or incorrect ones before initiating the fraud check.	Positive		
	TC_011	Verify the system’s behavior when AML and fraud checks are conducted for all applicants.	Multiple applicants including co-applicants and guarantors.	1. Enter multiple applicants including co-applicants and guarantors. 2. Complete QDE 1A and Posidex checks. 3. Trigger AML and fraud checks for all applicants.	AML and fraud checks are correctly triggered and processed for all applicants including co-applicants and guarantors.	Positive		
	Validations:							
