Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14
Story #	Test Case ID	Test Description	Test Data	Test Steps	Expected Output	Detailed Test Category	Attachments(Issue)	Pass/Faile	"Defect-ID (JIRA)
(if Fail)"	Pass/Fail	Comments	Defect-ID(JIRA)	Device	Attachments(Issue)
MT-737 	Scope Scenario 1 													
	TC001	Trigger Scorecard API after clicking on QDE 1b Proceed button for PV with Applicant as Repayer	Vertical: PV, Contract Type: New, Repayer: Applicant	1. Navigate to QDE 1b screen 2. Click Proceed button	Scorecard API is triggered with Applicant details as input	Positive								
	TC002	Trigger Scorecard API after clicking on QDE 1b Proceed button for PV with Applicant as Repayer	Vertical: PV, Contract Type: New, Repayer: Applicant	1. Navigate to QDE 1b screen 2. Click Proceed button	Scorecard API is not triggered with Applicant details as input	Negative								
	TC003	Trigger Scorecard API after clicking on QDE 1b Proceed button for PV with Co-applicant as Repayer	Vertical: PV, Contract Type: New, Repayer: Co-applicant	1. Navigate to QDE 1b screen 2. Click Proceed button	Scorecard API is triggered with Co-applicant details as input	Positive								
	TC004	Trigger Scorecard API after clicking on QDE 1b Proceed button for PV with Co-applicant as Repayer	Vertical: PV, Contract Type: New, Repayer: Co-applicant	1. Navigate to QDE 1b screen 2. Click Proceed button	Scorecard API is  not triggered with Co-applicant details as input	Negative								
	TC005	Trigger Scorecard API after clicking on QDE 1b Proceed button for FES with Applicant as Repayer	Vertical: FES, Contract Type: New, Repayer: Applicant	1. Navigate to QDE 1b screen 2. Click Proceed button	Scorecard API is triggered with Applicant details as input	Positive								
	TC006	Trigger Scorecard API after clicking on QDE 1b Proceed button for FES with Applicant as Repayer	Vertical: FES, Contract Type: New, Repayer: Applicant	1. Navigate to QDE 1b screen 2. Click Proceed button	Scorecard API is not triggered with Applicant details as input	Negative								
	TC007	Trigger Scorecard API after clicking on QDE 1b Proceed button for FES with Co-applicant as Repayer	Vertical: FES, Contract Type: New, Repayer: Co-applicant	1. Navigate to QDE 1b screen 2. Click Proceed button	Scorecard API is triggered with Applicant details as input	Positive								
	TC008	Trigger Scorecard API after clicking on QDE 1b Proceed button for FES with Co-applicant as Repayer	Vertical: FES, Contract Type: New, Repayer: Co-applicant	1. Navigate to QDE 1b screen 2. Click Proceed button	Scorecard API is not triggered with Applicant details as input	Negative								
	TC009	Trigger Scorecard API after clicking on QDE 1b Proceed button for SOT with Applicant as Repayer	Vertical: SOT, Contract Type: New, Repayer: Applicant	1. Navigate to QDE 1b screen 2. Click Proceed button	Scorecard API is triggered with Applicant details as input	Positive								
